eid,w,o10,s1000
247,0,108,-3
247,0,103,90
296,0,4655,268
296,1,77,-119
296,0,2144,422
297,0,492,-157
298,0,750,189
298,0,2394,366
298,0,764,50
301,0,455,-240
302,0,1211,84
302,0,91,-223
317,0,62,-240
318,0,50,-78
318,1,28,-130
320,1,75,-207
322,1,15,-140
360,0,1755,-25
361,0,2680,-193
373,0,804,-17
375,1,27,-206
388,0,151,77
388,1,22,138
388,0,1551,129
390,0,3152,493
431,0,1435,-31
481,0,756,-85
487,0,2237,-95
488,0,4250,-89
493,0,1306,61
535,0,112,606
535,0,225,391
535,0,54,-105
536,0,795,-73
537,0,68,-71
537,0,29,-34
539,0,945,124
539,0,166,-69
540,0,3728,703
540,1,1778,-70
540,0,5683,51
542,0,557,6
542,0,86,-5
542,0,841,248
543,0,1785,-52
543,0,68,-9
545,0,171,35
545,0,58,35
557,0,179,124
557,0,313,63
557,0,72,-196
557,0,244,180
557,1,23,-159
557,0,42,42
558,0,377,143
558,0,144,192
558,0,46,-184
558,0,31,32
558,1,24,25
558,0,445,545
559,0,54,-47
559,0,31,-192
559,0,166,326
559,0,155,263
559,0,72,6
559,1,29,-31
559,0,281,123
559,0,87,163
560,0,39,-57
560,0,86,-224
560,0,34,-385
560,1,113,81
560,0,62,-151
560,0,330,206
560,0,90,181
560,0,209,163
560,0,65,-233
561,0,88,260
561,0,168,113
561,0,32,-26
561,0,129,-327
561,0,64,-34
561,0,68,-23
561,0,34,-284
561,1,95,-155
562,0,117,236
562,0,69,234
562,0,61,-47
562,0,85,372
563,1,18,-166
563,0,161,67
564,0,90,113
565,0,261,327
565,0,284,65
565,0,270,54
565,0,38,-235
571,0,39,-215
576,0,184,-94
578,0,196,-26
603,0,1405,-185
605,0,834,72
605,0,58,-192
605,0,195,-19
605,0,151,-27
605,1,14,-326
605,0,68,136
605,0,506,116
605,0,496,-93
605,0,226,-53
606,0,242,-48
606,0,649,-77
606,0,343,0
606,0,2368,588
606,0,185,10
606,0,42,-304
606,1,70,62
606,0,110,59
606,0,16,137
607,0,214,-50
607,0,988,-105
607,0,1045,166
607,0,12,-404
607,0,352,210
607,0,708,151
607,0,1109,637
607,1,30,-194
607,0,401,-169
608,0,262,-100
608,0,2681,210
609,0,149,19
609,0,349,-9
609,1,106,-11
609,0,412,26
609,0,1241,524
610,0,628,412
610,0,477,-133
611,0,2134,446
611,0,213,137
611,0,669,250
612,1,15,-203
613,0,636,-161
613,0,282,-217
613,0,151,-120
614,1,13,-183
614,0,245,49
614,0,334,199
614,0,610,165
614,0,336,-25
614,0,973,170
614,0,2109,326
614,0,853,189
614,0,29,-232
615,0,32,-284
615,0,161,154
615,0,65,116
616,0,196,197
616,0,90,151
616,0,21,-120
617,0,45,-134
617,0,72,131
617,0,45,-60
617,0,46,-40
617,0,51,23
617,0,98,-157
617,1,61,238
618,1,68,248
618,0,145,144
618,0,76,-128
618,0,35,53
618,0,25,-80
618,0,196,349
619,0,48,51
619,1,15,-123
619,0,257,159
619,0,137,280
620,0,83,78
620,1,35,-123
620,0,88,443
621,0,365,-247
621,0,43,105
621,0,33,24
622,1,37,144
623,0,319,180
623,0,146,215
626,0,121,-10
626,0,157,-76
627,0,379,199
627,0,60,-131
640,0,742,-185
640,0,446,200
640,0,2042,257
640,0,24,30
640,1,194,-46
640,0,148,88
640,0,200,-25
640,0,67,-149
640,0,86,263
641,0,33,-46
641,0,3455,70
641,0,5903,448
641,0,1226,-18
641,0,147,-81
641,0,739,-100
642,0,196,-126
642,0,1104,226
642,0,931,140
642,0,1356,156
642,0,1270,179
642,0,848,151
642,0,99,132
642,0,115,71
642,1,12,-177
642,0,346,155
643,0,271,-109
643,0,743,-174
643,0,512,-27
643,1,13,-98
643,0,2598,301
643,0,825,11
643,0,109,-204
643,0,1436,-3
643,0,1185,-51
644,0,81,15
644,0,29,-1
644,0,100,103
644,1,32,-207
644,0,851,159
644,0,1562,439
644,0,255,53
644,0,67,193
644,0,930,274
645,1,46,-126
645,0,183,121
645,0,146,-144
645,0,83,-95
645,0,25,-45
645,0,117,-68
645,0,1771,562
645,0,50,-199
645,0,250,-171
645,0,173,133
646,1,102,-7
646,0,170,-111
646,0,96,-55
646,0,25,67
646,0,77,-199
646,0,77,-17
646,0,58,-1
646,0,787,-26
646,0,2449,351
646,0,575,-123
646,0,85,-39
647,0,2399,281
647,0,371,-79
647,0,187,-257
647,1,12,-204
647,0,245,-65
647,0,80,-13
648,0,1244,141
648,0,214,-59
648,1,12,-274
648,0,136,-216
648,0,369,84
648,0,148,80
649,0,1288,223
649,0,753,74
649,0,63,-206
649,0,120,-220
649,0,37,-204
649,0,169,671
649,0,405,249
649,0,1719,330
649,1,51,-10
650,0,70,-85
650,0,74,75
650,0,216,-102
650,1,184,89
650,0,134,77
650,0,19,-114
651,0,1057,121
651,0,16,-176
651,0,1466,113
651,1,27,28
651,0,1552,193
652,0,1312,37
652,0,571,217
652,1,611,-129
653,0,25,-188
653,0,1469,173
653,0,2878,557
653,0,246,-18
653,0,440,-18
653,0,429,-22
653,0,2128,345
653,0,170,-141
655,0,2872,161
655,0,101,-13
655,0,2569,5
