med_type,pref_code,med_code,name,address,phone,opener,manager,depts,beds,designated_date,source
病院,07,0110156,一般財団法人桜ヶ丘病院,福島市丸子字上川原２８－７３,024-553-1569,一般財団法人桜ヶ丘病院　理事長　渡部　康,渡部　康,精神　精　心内　内,180,昭32. 7. 1,ika
病院,07,0111014,一陽会病院,福島市八島町１５－２７,024-534-6715,社会医療法人　一陽会　理事長　寺山　賢次,寺山　賢次,精神　精　心内　内,157,昭38. 1. 16,ika
病院,07,0112434,福島第一病院,福島市北沢又字成出１６－２,024-557-5111,社会医療法人福島厚生会　理事長　星野　俊吾,小川　智弘,一般　内　呼内　循　消化器内科　消化器外科　透析　アレ　外科　乳腺外科　腫瘍外科　頭頸部外科　心外　こう　整外　胃外科　腹部外科　胆のう外科　大腸外科　リウ　リハ　放　歯　麻　血液内科　内分泌内科　腎臓内科,196,昭47. 5. 1,ika
病院,07,0112509,医療法人五光会福島寿光会病院,福島市北町１－４０,024-521-1370,医療法人五光会　理事長　篠崎　仁史,袖長　安積,一般　内　消　循　リハ　心臓血管外科,,昭48. 4. 1,ika
病院,07,0112863,医療生協　わたり病院,福島市渡利字中江町３４,024-521-2056,福島医療生活協同組合　理事長　齋藤　紀,北條　徹,一般　療養　内　小　リハ　心内　精　神内　循　アレ　婦　放　麻　透析　病理　心外　消化器内科（内視鏡）　消化器外科（内視鏡）　緩和ケア内科,135,昭50. 10. 13,ika
病院,07,0113044,医療法人明治病院,福島市北町２－４０,024-521-0805,医療法人明治病院　理事長　幡　研一,幡　亮人,一般　産婦　小,,昭52. 10. 1,ika
診療所,07,0113143,さとう内科医院,福島市豊田町４－１２,024-523-4511,佐藤　武寿,佐藤　武寿,内　胃　循,,昭53. 9. 1,ika
診療所,07,0113465,菅野産婦人科医院,福島市蓬莱町２－１－１１,024-548-2525,菅野　寛,菅野　寛,内　産婦,,昭56. 7. 1,ika
病院,07,0113515,医療法人板倉病院,福島市成川字下畑２６－１,024-545-3741,医療法人　板倉病院　理事長　海野幸浩,海野　幸浩,精神　精　心内　内,,昭57. 5. 24,ika
診療所,07,0113614,佐藤耳鼻咽喉科,福島市黒岩字田部屋１２－３,024-545-3317,佐藤　雅弘,佐藤　雅弘,耳い　気食,,昭58. 5. 1,ika
診療所,07,0113655,本田内科医院,福島市飯坂町平野字東原４２－１２,024-542-0666,本田　慶一朗,本田　慶一朗,内　胃　循　呼外,,昭58. 10. 1,ika
診療所,07,0113663,かんの消化器科外科医院,福島市山口字雷２０,024-533-3801,菅野　鑑一郎,菅野　鑑一郎,内　消　外,,昭58. 11. 1,ika
診療所,07,0113754,医療法人　桜樹会　岡部クリニック,福島市岡部字前田１５９－１,024-534-4856,医療法人　桜樹会　理事長　八子　直樹,八子　亮,内　胃　外　整外　こう,,昭59. 7. 1,ika
診療所,07,0113853,紺野整形外科,福島市丸子字漆方６－１０,024-553-3000,紺野　宣郎,紺野　宣郎,整外　リウ,,昭60. 10. 1,ika
病院,07,0113887,医療法人篤仁会富士病院,福島市大波字熊野山１,024-588-1011,医療法人　篤仁会　理事長　岩﨑　芳子,大野　篤志,精神　精　内　歯,282,昭61. 4. 1,ika
診療所,07,0113895,医療法人篤仁会本町こころとからだクリニック,福島市本町５－１９,024-521-2262,医療法人篤仁会　理事長　岩﨑　芳子,加藤　美保,精　心内　内,,昭61. 4. 1,ika
病院,07,0114091,福島西部病院,福島市東中央３－１５,024-533-2121,医療法人社団敬愛会　理事長　菊池　悟,菅谷　芳幸,一般　内　呼　循環器内科　消化器内科　消化器外科　外　小外　こう　整外　小　ひ　婦　リハ　放射線診断科　歯　歯外　血液内科　糖尿病内科　乳腺外科　内分泌代謝内科,,昭63. 1. 25,ika
診療所,07,0114158,医療法人　待井内科クリニック,福島市南中央１－７０,024-533-5578,医療法人　待井内科クリニック　理事長　待井　典剛,待井　典剛,内　循　糖尿病内科　神内,,昭63. 4. 1,ika
診療所,07,0114182,きらり健康生活協同組合　須川診療所,福島市野田町１－１２－７２,024-531-6311,きらり健康生活協同組合　理事長　木村　公,廣川　健,一般　内　神内　胃　循　小　呼　リハ　放,,昭63. 4. 1,ika
