pref_code,fiscal_year,category,receipt_count,days
01,2016,医科入院,1715672,28140617
01,2017,医科入院,1733305,28364441
01,2018,医科入院,1725919,28146597
01,2019,医科入院,1713647,28013818
01,2020,医科入院,1584182,26339486
01,2021,医科入院,1575074,25902776
01,2022,医科入院,1557718,25405045
01,2023,医科入院,1607282,25929610
01,2024,医科入院,1623367,25967595
01,2025,医科入院,1499748,23842402
01,2016,医科入院外,41952663,63541038
01,2017,医科入院外,42049292,63023732
01,2018,医科入院外,42020621,62207263
01,2019,医科入院外,41771160,61225109
01,2020,医科入院外,38215350,55345893
01,2021,医科入院外,39389646,56503496
01,2022,医科入院外,40757644,57768293
01,2023,医科入院外,41923862,58892996
01,2024,医科入院外,41779048,58459443
01,2025,医科入院外,37452416,52049244
01,2016,歯科,8002662,16569164
01,2017,歯科,8186594,16522458
01,2018,歯科,8354806,16399510
01,2019,歯科,8569629,16425563
01,2020,歯科,8025928,15328056
01,2021,歯科,8375773,15252937
01,2022,歯科,8632244,15189591
01,2023,歯科,8817805,15091926
01,2024,歯科,9107403,15164358
01,2025,歯科,8410423,13661372
01,2016,総計,51761967,108881874
01,2017,総計,52069674,108608018
01,2018,総計,52212455,107526418
01,2019,総計,52175873,106524016
01,2020,総計,47963665,98030491
01,2021,総計,49492966,98821185
01,2022,総計,51114935,99666415
01,2023,総計,52534495,101419547
01,2024,総計,52718823,101352539
01,2025,総計,47578291,91397237
01,2016,訪問看護,90970,631055
01,2017,訪問看護,100483,697387
01,2018,訪問看護,111109,773048
01,2019,訪問看護,121437,859526
01,2020,訪問看護,138205,1017056
01,2021,訪問看護,152473,1161976
01,2022,訪問看護,167329,1303486
01,2023,訪問看護,185546,1505015
01,2024,訪問看護,209005,1761143
01,2025,訪問看護,215704,1844219
01,2016,調剤,29052842,35469504
01,2017,調剤,29222608,35440377
01,2018,調剤,29413653,35417484
01,2019,調剤,29396298,35161352
01,2020,調剤,27127440,31960554
01,2021,調剤,27964348,32881451
01,2022,調剤,28964277,33801700
01,2023,調剤,30457329,35655903
01,2024,調剤,30520557,35632519
01,2025,調剤,27462847,31833986
02,2016,医科入院,322364,5109026
02,2017,医科入院,321666,5066821
02,2018,医科入院,319564,5016124
02,2019,医科入院,313793,4919156
02,2020,医科入院,298903,4694878
02,2021,医科入院,294155,4576036
02,2022,医科入院,284626,4400428
02,2023,医科入院,294262,4589312
02,2024,医科入院,295765,4600868
02,2025,医科入院,271020,4194291
02,2016,医科入院外,11391762,18284497
02,2017,医科入院外,11341636,17854542
02,2018,医科入院外,11325149,17500208
02,2019,医科入院外,11255294,17120091
02,2020,医科入院外,10355901,15431651
02,2021,医科入院外,10523482,15476988
02,2022,医科入院外,10660459,15437625
02,2023,医科入院外,10893721,15706266
02,2024,医科入院外,10714786,15339283
02,2025,医科入院外,9626872,13648692
02,2016,歯科,1680517,3453526
02,2017,歯科,1694457,3391950
02,2018,歯科,1722472,3358603
02,2019,歯科,1780202,3357935
02,2020,歯科,1710009,3178665
02,2021,歯科,1733962,3094833
02,2022,歯科,1744633,3032760
02,2023,歯科,1781970,3014004
02,2024,歯科,1835964,3014712
02,2025,歯科,1702027,2721850
02,2016,総計,13418034,27011914
02,2017,総計,13382590,26488936
02,2018,総計,13394425,26065678
02,2019,総計,13378825,25597858
02,2020,総計,12396733,23537749
02,2021,総計,12585133,23399876
02,2022,総計,12725232,23150424
02,2023,総計,13008875,23626357
02,2024,総計,12886956,23286049
02,2025,総計,11639337,20886534
02,2016,訪問看護,23391,164865
02,2017,訪問看護,24831,175623
02,2018,訪問看護,27240,190743
02,2019,訪問看護,29536,200676
02,2020,訪問看護,31920,232555
02,2021,訪問看護,33534,252019
02,2022,訪問看護,35514,279611
02,2023,訪問看護,38922,316775
02,2024,訪問看護,40441,331186
02,2025,訪問看護,39418,321701
02,2016,調剤,8095805,10272764
02,2017,調剤,8183081,10284553
02,2018,調剤,8221418,10214793
02,2019,調剤,8189211,10078896
02,2020,調剤,7588037,9152133
02,2021,調剤,7710379,9264006
02,2022,調剤,7855720,9339911
02,2023,調剤,8180359,9779048
02,2024,調剤,8114419,9629926
02,2025,調剤,7338570,8641758
03,2016,医科入院,312983,4956243
03,2017,医科入院,312036,4907910
03,2018,医科入院,306361,4811034
03,2019,医科入院,299610,4734004
03,2020,医科入院,283373,4493350
03,2021,医科入院,285177,4486690
03,2022,医科入院,278462,4377821
03,2023,医科入院,281776,4419708
03,2024,医科入院,281901,4382382
03,2025,医科入院,261303,4030800
03,2016,医科入院外,10449573,15389971
03,2017,医科入院外,10412263,15184355
03,2018,医科入院外,10364574,14938750
03,2019,医科入院外,10284944,14648344
03,2020,医科入院外,9601682,13530341
03,2021,医科入院外,9733175,13580947
03,2022,医科入院外,9958066,13713125
03,2023,医科入院外,10081287,13832217
03,2024,医科入院外,10004061,13687896
03,2025,医科入院外,9023270,12267491
03,2016,歯科,1956192,3599284
03,2017,歯科,1976994,3560557
03,2018,歯科,1984242,3508057
03,2019,歯科,2005291,3463122
03,2020,歯科,1949810,3337131
03,2021,歯科,1973123,3272701
03,2022,歯科,1976735,3209147
03,2023,歯科,2014615,3197363
03,2024,歯科,2070336,3196729
03,2025,歯科,1915688,2879024
03,2016,総計,12734781,24053401
03,2017,総計,12718920,23773141
03,2018,総計,12675716,23399806
03,2019,総計,12612546,23001907
03,2020,総計,11860190,21546376
03,2021,総計,12020412,21551362
03,2022,総計,12245157,21531639
03,2023,総計,12412690,21704031
03,2024,総計,12394408,21563413
03,2025,総計,11237727,19475306
03,2016,訪問看護,16033,107903
03,2017,訪問看護,17627,120319
03,2018,訪問看護,20539,141965
03,2019,訪問看護,22701,156437
03,2020,訪問看護,25325,185554
03,2021,訪問看護,28937,211024
03,2022,訪問看護,31894,231546
03,2023,訪問看護,35012,254743
03,2024,訪問看護,38110,296406
03,2025,訪問看護,37466,297991
03,2016,調剤,7148206,8561279
03,2017,調剤,7290303,8702186
03,2018,調剤,7366612,8743606
03,2019,調剤,7385586,8701309
03,2020,調剤,6962831,8083814
03,2021,調剤,7059014,8165174
03,2022,調剤,7242587,8308083
03,2023,調剤,7453480,8592735
03,2024,調剤,7439109,8562291
03,2025,調剤,6768671,7750932
04,2016,医科入院,509467,7447798
04,2017,医科入院,516981,7530684
04,2018,医科入院,517725,7482321
04,2019,医科入院,514411,7420273
04,2020,医科入院,490330,7066955
04,2021,医科入院,489196,7038252
04,2022,医科入院,479733,6887253
04,2023,医科入院,498891,7135015
04,2024,医科入院,504441,7099419
04,2025,医科入院,466693,6528468
04,2016,医科入院外,19437632,28896792
04,2017,医科入院外,19547935,28782310
04,2018,医科入院外,19621236,28569243
04,2019,医科入院外,19440238,27978861
04,2020,医科入院外,17918677,25434317
04,2021,医科入院外,18646973,26237091
04,2022,医科入院外,19252940,26794015
04,2023,医科入院外,19821448,27334946
04,2024,医科入院外,19809789,27187505
04,2025,医科入院外,18002209,24525797
04,2016,歯科,4002278,7100358
04,2017,歯科,4074737,7088434
04,2018,歯科,4141666,7016890
04,2019,歯科,4243937,7002364
04,2020,歯科,4015012,6605974
04,2021,歯科,4212162,6675813
04,2022,歯科,4319634,6660698
04,2023,歯科,4422756,6672182
04,2024,歯科,4543264,6719696
04,2025,歯科,4225758,6131741
04,2016,総計,23986559,43687689
04,2017,総計,24182113,43684690
04,2018,総計,24325036,43372012
04,2019,総計,24246529,42736478
04,2020,総計,22476424,39487921
04,2021,総計,23406874,40388107
04,2022,総計,24118582,40858489
04,2023,総計,24817516,41752384
04,2024,総計,24942997,41763853
04,2025,総計,22781990,37978346
04,2016,訪問看護,37182,242741
04,2017,訪問看護,42460,283262
04,2018,訪問看護,44409,303558
04,2019,訪問看護,47943,334980
04,2020,訪問看護,52405,380675
04,2021,訪問看護,58543,436951
04,2022,訪問看護,66275,516523
04,2023,訪問看護,74421,610241
04,2024,訪問看護,85503,757233
04,2025,訪問看護,87330,792340
04,2016,調剤,13313120,16428249
04,2017,調剤,13436002,16467289
04,2018,調剤,13583181,16513778
04,2019,調剤,13617099,16407628
04,2020,調剤,12629295,14903115
04,2021,調剤,13169095,15504567
04,2022,調剤,13713667,16016863
04,2023,調剤,14438467,16925358
